Date,IsHoliday,Total_Weekly_Sales
2010-02-05,False,49750875.98
2010-02-12,True,48336800.1
2010-02-19,False,48277902.33
2010-02-26,False,43970440.65
2010-03-05,False,46872715.16
2010-03-12,False,45926841.32
2010-03-19,False,44989431.42
2010-03-26,False,44134583.5
2010-04-02,False,50424232.22
2010-04-09,False,47365466.31
2010-04-16,False,45183702.69
2010-04-23,False,44734552.03
2010-04-30,False,43706044.18
2010-05-07,False,48503424.39
2010-05-14,False,45330146.41
2010-05-21,False,45120250.64
2010-05-28,False,47757773.63
2010-06-04,False,50188767.6
2010-06-11,False,47826673.98
2010-06-18,False,47622191.19
2010-06-25,False,46609279.67
2010-07-02,False,48917953.47
2010-07-09,False,47899738.27
2010-07-16,False,46243964.08
2010-07-23,False,44889146.07
2010-07-30,False,44631854.44
2010-08-06,False,48205253.28
2010-08-13,False,46464427.88
2010-08-20,False,47061664.12
2010-08-27,False,45910212.69
2010-09-03,False,47194854.46
2010-09-10,True,45635418.66
2010-09-17,False,43081750.91
2010-09-24,False,41359671.97
2010-10-01,False,42240037.61
2010-10-08,False,45108084.83
2010-10-15,False,43151409.44
2010-10-22,False,43066757.33
2010-10-29,False,43603288.95
2010-11-05,False,45782283.73
2010-11-12,False,46124900.63
2010-11-19,False,45126774.34
2010-11-26,True,65821216.26
2010-12-03,False,49910639.7
2010-12-10,False,55667840.03
2010-12-17,False,61821317.85
2010-12-24,False,80931586.2
2010-12-31,True,40434740.42
2011-01-07,False,42776317.46
2011-01-14,False,40673850.98
2011-01-21,False,40654860.31
2011-01-28,False,39600376.5
2011-02-04,False,46153610.74
2011-02-11,True,47336816.9
2011-02-18,False,48716194.66
2011-02-25,False,44126019.85
2011-03-04,False,46980864.59
2011-03-11,False,44628496.3
2011-03-18,False,44872646.25
2011-03-25,False,42878001.0
2011-04-01,False,43459828.12
2011-04-08,False,45888090.49
2011-04-15,False,44974193.91
2011-04-22,False,48676782.6
2011-04-29,False,43530206.49
2011-05-06,False,46862068.62
2011-05-13,False,45446375.35
2011-05-20,False,44046950.89
2011-05-27,False,45293673.35
2011-06-03,False,48772105.36
2011-06-10,False,47669913.72
2011-06-17,False,47447755.54
2011-06-24,False,45885189.93
2011-07-01,False,47580673.79
2011-07-08,False,47859714.06
2011-07-15,False,45516616.88
2011-07-22,False,45274519.37
2011-07-29,False,43683474.98
2011-08-05,False,48016880.04
2011-08-12,False,46249873.18
2011-08-19,False,46917761.66
2011-08-26,False,47417097.58
2011-09-02,False,45381078.94
2011-09-09,True,46763760.42
2011-09-16,False,43794071.65
2011-09-23,False,42719131.48
2011-09-30,False,42197389.67
2011-10-07,False,47212027.93
2011-10-14,False,44375338.95
2011-10-21,False,45819680.12
2011-10-28,False,45856004.32
2011-11-04,False,48655867.81
2011-11-11,False,48474277.53
2011-11-18,False,46439392.44
2011-11-25,True,66593835.85
2011-12-02,False,49390609.94
2011-12-09,False,55561557.73
2011-12-16,False,60086723.160000004
2011-12-23,False,76999773.57
2011-12-30,True,46044300.91
2012-01-06,False,44955766.39
2012-01-13,False,42023513.51
2012-01-20,False,42082070.32
2012-01-27,False,39835117.15
2012-02-03,False,46085809.81
2012-02-10,True,50010196.6
2012-02-17,False,50197325.48
2012-02-24,False,45771879.72
2012-03-02,False,46861342.89
2012-03-09,False,47482677.99
2012-03-16,False,46902365.23
2012-03-23,False,44994361.91
2012-03-30,False,45273064.44
2012-04-06,False,53502476.06
2012-04-13,False,46629682.72
2012-04-20,False,45073217.62
2012-04-27,False,43717315.31
2012-05-04,False,47124459.51
2012-05-11,False,46926829.21
2012-05-18,False,46824854.84
2012-05-25,False,47892949.14
2012-06-01,False,48281966.93
2012-06-08,False,49651327.57
2012-06-15,False,48412578.62
2012-06-22,False,47668384.18
2012-06-29,False,46597343.31
2012-07-06,False,51253625.62
2012-07-13,False,46100396.02
2012-07-20,False,46059876.27
2012-07-27,False,44097388.27
2012-08-03,False,47486123.19
2012-08-10,False,47403826.18
2012-08-17,False,47355393.13
2012-08-24,False,47449420.62
2012-08-31,False,47159931.47
2012-09-07,True,48330449.03
2012-09-14,False,44226897.92
2012-09-21,False,44354937.08
2012-09-28,False,43735713.56
2012-10-05,False,47567053.49
2012-10-12,False,46128909.98
2012-10-19,False,45122443.96
2012-10-26,False,45544379.53
